date,produit,categorie,prix,quantite,ville,mode_paiement,vendeur,chiffre_affaires
2024-07-17,Dattes 1kg,Alimentation,2794.0,2.0,Dakar,Carte bancaire,V049,5588.0
2024-05-03,Gravier 1m³,Construction,29874.0,2.0,Thiès,Wave,V038,59748.0
2024-08-29,Tecno Spark 40 5G,Électronique,96391.0,1.0,Ziguinchor,Carte bancaire,V016,96391.0
2024-11-16,Pagne Kenté 6 yards,Textile,23277.0,2.0,Ziguinchor,Orange Money,V019,46554.0
2024-04-29,Dattes 1kg,Alimentation,2864.0,3.0,Dakar,Wave,V010,8592.0
2024-09-13,Ventilateur sur pied,Électroménager,31921.0,1.0,Thiès,Espèces,V001,31921.0
2024-10-17,Tôles ondulées (unité),Construction,11182.0,1.0,Thiès,Orange Money,V024,11182.0
2024-05-18,Bouilloire électrique,Électroménager,12291.0,1.0,Dakar,Orange Money,V043,12291.0
2024-12-10,Voile hijab,Textile,3508.0,3.0,Ziguinchor,Wave,V028,10524.0
2024-10-07,Cuisinière 4 feux,Électroménager,163253.0,1.0,Dakar,Free Money,V014,163253.0
2024-06-05,Climatiseur 12000 BTU,Électroménager,289804.0,1.0,Ziguinchor,Orange Money,V037,289804.0
2024-09-28,Riz brisé 50kg,Alimentation,25220.0,2.0,Dakar,Espèces,V048,50440.0
2024-03-07,Sucre cristallisé 50kg,Alimentation,29453.0,4.0,Dakar,Orange Money,V021,117812.0
2024-03-27,Henné naturel 100g,Cosmétiques,2634.0,1.0,Thiès,Wave,V030,2634.0
2024-03-12,Huile d'argan 100ml,Cosmétiques,11850.0,3.0,Saint-Louis,Carte bancaire,V038,35550.0
2024-12-24,Clé USB 32GB,Électronique,4994.0,1.0,Thiès,Orange Money,V006,4994.0
2024-03-13,Climatiseur 12000 BTU,Électroménager,310376.0,1.0,Saint-Louis,Wave,V002,310376.0
2024-03-15,Mixeur,Électroménager,24453.0,1.0,Kaolack,Orange Money,V026,24453.0
2024-03-21,Huile d'argan 100ml,Cosmétiques,11432.0,2.0,Saint-Louis,Espèces,V003,22864.0
2024-04-22,Congélateur 200L,Électroménager,254264.0,1.0,Dakar,Free Money,V038,254264.0
2024-05-01,Fenêtre aluminium,Construction,47593.0,3.0,Dakar,Wave,V020,142779.0
2024-03-18,Riz parfumé 50kg,Alimentation,31704.0,1.0,Thiès,Wave,V004,31704.0
2024-08-08,Gel coiffant 500ml,Cosmétiques,4848.0,2.0,Kaolack,Espèces,V041,9696.0
2024-03-08,Carrelage m²,Construction,8068.0,3.0,Dakar,Free Money,V050,24204.0
2024-01-01,Réfrigérateur 180L,Électroménager,303310.0,1.0,Dakar,Orange Money,V018,303310.0
2024-12-25,Infinix Note 50 Pro,Électronique,153164.0,1.0,Thiès,Wizall,V027,153164.0
2024-10-17,Beurre de karité 500g,Cosmétiques,5404.0,1.0,Dakar,Carte bancaire,V023,5404.0
2024-07-29,Riz brisé 50kg,Alimentation,27048.0,2.0,Thiès,Carte bancaire,V011,54096.0
2024-03-13,Voile hijab,Textile,37620.0,1.0,Dakar,Orange Money,V038,3762.0
2024-06-18,Sarouel coton,Textile,11873.0,2.0,Kaolack,Wave,V044,23746.0
2024-08-19,Huile d'argan 100ml,Cosmétiques,12106.0,1.0,Saint-Louis,Wave,V049,12106.0
2024-09-02,Dentelle Guipure 5 yards,Textile,24098.0,3.0,Kaolack,Free Money,V001,72294.0
2024-12-06,Powerbank 10000mAh,Électronique,12979.0,1.0,Dakar,Espèces,V019,12979.0
2024-05-29,"Téléviseur LED 32""",Électronique,126489.0,1.0,Dakar,Espèces,V019,126489.0
2024-05-07,Huawei Nova 13,Électronique,172788.0,1.0,Saint-Louis,Wave,V044,172788.0
2024-09-02,Dentelle Guipure 5 yards,Textile,25688.0,1.0,Kaolack,Wave,V016,25688.0
2024-09-05,Porte métallique,Construction,76624.0,3.0,Thiès,Espèces,V003,229872.0
2024-04-26,Climatiseur 12000 BTU,Électroménager,316111.0,2.0,Dakar,Orange Money,V041,632222.0
2024-10-07,Mboubou femme,Textile,41044.0,1.0,Dakar,Espèces,V047,41044.0
2024-05-22,Tôles ondulées (unité),Construction,11325.0,1.0,Dakar,Espèces,V003,11325.0
2024-10-16,Parfum femme 100ml,Cosmétiques,23144.0,1.0,Ziguinchor,Wave,V025,23144.0
2024-09-03,Powerbank 10000mAh,Électronique,12124.0,1.0,Saint-Louis,Wave,V025,12124.0
2024-04-27,Briques creuses (unité),Construction,204.0,252.0,Thiès,Wave,V008,51408.0
2024-04-26,Carrelage m²,Construction,7596.0,5.0,Ziguinchor,Free Money,V018,37980.0
2024-08-01,Peinture 25L,Construction,34617.0,1.0,Dakar,Orange Money,V030,34617.0
2024-02-16,Beurre de karité 500g,Cosmétiques,4813.0,3.0,Dakar,Orange Money,V005,14439.0
2024-12-26,Fer à repasser,Électroménager,19256.0,1.0,Dakar,Wizall,V049,19256.0
2024-01-12,Voile hijab,Textile,3106.0,1.0,Dakar,Espèces,V025,3106.0
2024-01-13,Sable 1m³,Construction,28443.0,1.0,Thiès,Orange Money,V048,28443.0
2024-03-20,Huile végétale 5L,Alimentation,5527.0,3.0,Dakar,Orange Money,V014,16581.0
2024-05-17,Huile végétale 5L,Alimentation,5682.0,3.0,Ziguinchor,Carte bancaire,V005,17046.0
2024-01-10,Gravier 1m³,Construction,28570.0,1.0,Dakar,Orange Money,V048,28570.0
2024-08-06,Machine à laver 7kg,Électroménager,184206.0,1.0,Dakar,Wave,V033,184206.0
2024-10-07,Ventilateur sur pied,Électroménager,37856.0,1.0,Dakar,Espèces,V046,37856.0
2024-03-21,Porte métallique,Construction,71178.0,3.0,Dakar,Espèces,V011,213534.0
2024-02-12,Tecno Spark 40 5G,Électronique,99894.0,1.0,Dakar,Orange Money,V003,99894.0
2024-12-02,Samsung Galaxy A25,Électronique,118712.0,1.0,Dakar,Orange Money,V008,118712.0
2024-12-05,Fenêtre aluminium,Construction,44691.0,2.0,Dakar,Espèces,V026,89382.0
2024-12-22,Bazin riche 5 yards,Textile,34605.0,4.0,Dakar,Wave,V030,138420.0
2024-12-28,Écouteurs Bluetooth,Électronique,15378.0,1.0,Dakar,Espèces,V034,15378.0
2024-07-31,Congélateur 200L,Électroménager,238680.0,1.0,Ziguinchor,Espèces,V048,238680.0
2024-01-10,Gel coiffant 500ml,Cosmétiques,4919.0,1.0,Kaolack,Orange Money,V025,4919.0
2024-06-03,Riz parfumé 50kg,Alimentation,30829.0,1.0,Ziguinchor,Wave,V039,30829.0
2024-12-20,Boubou brodé homme,Textile,43515.0,3.0,Dakar,Espèces,V044,130545.0
2024-11-23,Porte métallique,Construction,74559.0,2.0,Dakar,Wave,V023,149118.0
2024-11-12,Huawei Nova 13,Électronique,169830.0,1.0,Kaolack,Espèces,V040,169830.0
2024-02-02,Gravier 1m³,Construction,30962.0,3.0,Ziguinchor,Wave,V004,92886.0
2024-10-17,iPhone 12,Électronique,462230.0,1.0,Saint-Louis,Carte bancaire,V023,462230.0
2024-06-18,"Téléviseur LED 32""",Électronique,126578.0,2.0,Kaolack,Orange Money,V026,253156.0
2024-03-22,Parfum homme 100ml,Cosmétiques,27030.0,1.0,Dakar,Wave,V020,27030.0
2024-01-28,Écouteurs Bluetooth,Électronique,16653.0,2.0,Dakar,Wave,V042,33306.0
2024-04-17,Savon noir Dudu Osun,Cosmétiques,1555.0,1.0,Saint-Louis,Wizall,V035,1555.0
2024-09-13,Sucre cristallisé 50kg,Alimentation,31447.0,2.0,Dakar,Orange Money,V002,62894.0
2024-02-08,Réfrigérateur 180L,Électroménager,289886.0,1.0,Thiès,Orange Money,V041,289886.0
2024-05-03,Ciment 50kg,Construction,4143.0,1.0,Kaolack,Orange Money,V042,4143.0
2024-11-12,Moussor femme,Textile,14624.0,1.0,Thiès,Wave,V045,14624.0
2024-09-27,Huile végétale 5L,Alimentation,5061.0,3.0,Kaolack,Wave,V020,15183.0
2024-10-18,Fenêtre aluminium,Construction,44143.0,2.0,Dakar,Orange Money,V041,88286.0
2024-10-08,Tissu Bogolan 3 yards,Textile,12795.0,3.0,Ziguinchor,Orange Money,V020,38385.0
2024-12-09,Climatiseur 12000 BTU,Électroménager,300239.0,1.0,Kaolack,Orange Money,V037,300239.0
2024-01-19,Ventilateur sur pied,Électroménager,32038.0,1.0,Kaolack,Wave,V032,32038.0
2024-02-06,Henné naturel 100g,Cosmétiques,2721.0,1.0,Thiès,Wave,V025,2721.0
2024-01-12,Réfrigérateur 180L,Électroménager,306727.0,1.0,Dakar,Carte bancaire,V035,306727.0
2024-07-04,Micro-ondes 20L,Électroménager,70087.0,1.0,Kaolack,Orange Money,V019,70087.0
2024-12-14,Huile palme 20L,Alimentation,18266.0,1.0,Thiès,Wave,V031,18266.0
2024-10-03,Huile végétale 5L,Alimentation,5925.0,1.0,Dakar,Orange Money,V017,5925.0
2024-01-09,Cuisinière 4 feux,Électroménager,164104.0,1.0,Ziguinchor,Orange Money,V013,164104.0
2024-06-28,Fer à béton 12mm,Construction,583.0,120.0,Kaolack,Wave,V016,69960.0
